provincia_id,anio,mes_id,num_siniestros
1,2023,1,82
1,2023,2,93
1,2023,3,80
1,2023,4,85
1,2023,5,107
1,2023,6,70
1,2023,7,101
1,2023,8,102
1,2023,9,101
1,2023,10,123
1,2023,11,144
1,2023,12,109
2,2023,1,11
2,2023,2,14
2,2023,3,8
2,2023,4,12
2,2023,5,15
2,2023,6,13
2,2023,7,12
2,2023,8,7
2,2023,9,15
2,2023,10,13
2,2023,11,17
2,2023,12,16
3,2023,1,3
3,2023,2,9
3,2023,3,7
3,2023,4,11
3,2023,5,6
3,2023,6,5
3,2023,7,10
3,2023,8,6
3,2023,9,6
3,2023,10,7
3,2023,11,7
3,2023,12,4
4,2023,1,5
4,2023,2,2
4,2023,3,1
4,2023,4,
4,2023,5,3
4,2023,6,1
4,2023,7,
4,2023,8,8
4,2023,9,2
4,2023,10,2
4,2023,11,1
4,2023,12,4
5,2023,1,11
5,2023,2,9
5,2023,3,9
5,2023,4,10
5,2023,5,17
5,2023,6,9
5,2023,7,14
5,2023,8,7
5,2023,9,11
5,2023,10,15
5,2023,11,53
5,2023,12,66
6,2023,1,88
6,2023,2,66
6,2023,3,37
6,2023,4,37
6,2023,5,31
6,2023,6,45
6,2023,7,37
6,2023,8,49
6,2023,9,30
6,2023,10,35
6,2023,11,33
6,2023,12,27
7,2023,1,58
7,2023,2,44
7,2023,3,40
7,2023,4,47
7,2023,5,46
7,2023,6,41
7,2023,7,57
7,2023,8,42
7,2023,9,48
7,2023,10,55
7,2023,11,55
7,2023,12,55
8,2023,1,17
8,2023,2,20
8,2023,3,7
8,2023,4,16
8,2023,5,16
8,2023,6,17
8,2023,7,18
8,2023,8,13
8,2023,9,19
8,2023,10,12
8,2023,11,11
8,2023,12,13
9,2023,1,630
9,2023,2,582
9,2023,3,614
9,2023,4,550
9,2023,5,626
9,2023,6,669
9,2023,7,703
9,2023,8,625
9,2023,9,651
9,2023,10,614
9,2023,11,574
9,2023,12,636
10,2023,1,28
10,2023,2,28
10,2023,3,29
10,2023,4,33
10,2023,5,24
10,2023,6,30
10,2023,7,29
10,2023,8,35
10,2023,9,31
10,2023,10,34
10,2023,11,39
10,2023,12,35
11,2023,1,49
11,2023,2,54
11,2023,3,50
11,2023,4,43
11,2023,5,62
11,2023,6,49
11,2023,7,53
11,2023,8,50
11,2023,9,56
11,2023,10,57
11,2023,11,53
11,2023,12,82
12,2023,1,98
12,2023,2,94
12,2023,3,82
12,2023,4,70
12,2023,5,91
12,2023,6,98
12,2023,7,108
12,2023,8,90
12,2023,9,102
12,2023,10,102
12,2023,11,89
12,2023,12,77
13,2023,1,107
13,2023,2,120
13,2023,3,82
13,2023,4,111
13,2023,5,101
13,2023,6,114
13,2023,7,118
13,2023,8,144
13,2023,9,108
13,2023,10,157
13,2023,11,118
13,2023,12,118
14,2023,1,4
14,2023,2,3
14,2023,3,2
14,2023,4,4
14,2023,5,1
14,2023,6,3
14,2023,7,5
14,2023,8,12
14,2023,9,18
14,2023,10,11
14,2023,11,4
14,2023,12,5
15,2023,1,3
15,2023,2,6
15,2023,3,1
15,2023,4,4
15,2023,5,1
15,2023,6,4
15,2023,7,
15,2023,8,
15,2023,9,
15,2023,10,1
15,2023,11,3
15,2023,12,5
16,2023,1,3
16,2023,2,3
16,2023,3,
16,2023,4,1
16,2023,5,4
16,2023,6,4
16,2023,7,3
16,2023,8,2
16,2023,9,2
16,2023,10,
16,2023,11,1
16,2023,12,3
17,2023,1,304
17,2023,2,334
17,2023,3,320
17,2023,4,318
17,2023,5,323
17,2023,6,347
17,2023,7,357
17,2023,8,373
17,2023,9,358
17,2023,10,346
17,2023,11,349
17,2023,12,427
18,2023,1,85
18,2023,2,66
18,2023,3,67
18,2023,4,89
18,2023,5,69
18,2023,6,81
18,2023,7,86
18,2023,8,80
18,2023,9,93
18,2023,10,82
18,2023,11,70
18,2023,12,119
19,2023,1,5
19,2023,2,2
19,2023,3,4
19,2023,4,9
19,2023,5,6
19,2023,6,3
19,2023,7,3
19,2023,8,3
19,2023,9,1
19,2023,10,12
19,2023,11,8
19,2023,12,
20,2023,1,
20,2023,2,
20,2023,3,
20,2023,4,1
20,2023,5,
20,2023,6,1
20,2023,7,1
20,2023,8,1
20,2023,9,1
20,2023,10,2
20,2023,11,
20,2023,12,
21,2023,1,5
21,2023,2,2
21,2023,3,
21,2023,4,
21,2023,5,
21,2023,6,2
21,2023,7,1
21,2023,8,3
21,2023,9,3
21,2023,10,2
21,2023,11,4
21,2023,12,1
22,2023,1,6
22,2023,2,7
22,2023,3,6
22,2023,4,6
22,2023,5,9
22,2023,6,2
22,2023,7,2
22,2023,8,2
22,2023,9,10
22,2023,10,11
22,2023,11,13
22,2023,12,6
23,2023,1,65
23,2023,2,86
23,2023,3,76
23,2023,4,53
23,2023,5,94
23,2023,6,90
23,2023,7,101
23,2023,8,89
23,2023,9,122
23,2023,10,73
23,2023,11,88
23,2023,12,111
24,2023,1,62
24,2023,2,54
24,2023,3,42
24,2023,4,46
24,2023,5,42
24,2023,6,47
24,2023,7,36
24,2023,8,30
24,2023,9,51
24,2023,10,38
24,2023,11,37
24,2023,12,47
